RC,Tag #,Manufacturer,Model,Model Number,Description,Responsibility,Status,Department,EQ Class,Serial Number,Date Acquired,Date Disabled,Warranty Date,Location,Risk Name,Risk Level,Alarm,Facility Tag Number,Misc Note,Billing Code,MTBF,Device MTBF,Purchase Cost,Manufacture Date,AEM Eligible,Proc(Freq)(NDue),Site Number,Manufacturer REC FREQ,Alias,TeleTracking Field Number,IP Address 1,IP Address 2,Freq,MAC,Port,Functional ID
0,555875,Manufacturer_16,Model_16,21,Description_899904,Responsiblity_12,Running,Department_12,EQ_Class_2,46817029,5/4/2019,5/3/2019,5/3/2019,Location_431,Risk_Name_20,1,None,527,None,563992,709,148,712982,4/29/2019,True,1,17,1,None,281460,58.206.180.226,237.89.204.148,1,93:9c:f3:28:08:7a,1192,563
0,376237,Manufacturer_7,Model_4,7,Description_322470,Responsiblity_13,Running,Department_2,EQ_Class_12,71008790,5/4/2019,5/15/2019,5/24/2019,Location_3,Risk_Name_20,1,None,548,None,250336,674,418,212500,4/17/2019,True,1,9,1,None,681649,152.204.127.242,23.47.182.195,1,41:f0:a6:a3:dc:12,1378,961
0,207305,Manufacturer_27,Model_6,24,Description_154451,Responsiblity_17,Running,Department_5,EQ_Class_23,45435312,5/31/2019,5/25/2019,5/26/2019,Location_964,Risk_Name_16,1,None,267,None,499385,481,480,856177,4/1/2019,True,1,3,1,None,102240,204.38.143.1,203.10.213.0,1,07:21:d4:d9:b8:fc,2047,602
0,293799,Manufacturer_23,Model_5,17,Description_3482,Responsiblity_16,Running,Department_5,EQ_Class_26,88615699,5/6/2019,5/14/2019,5/2/2019,Location_278,Risk_Name_9,1,None,213,None,845427,528,188,281455,4/26/2019,True,1,26,1,None,26478,125.111.172.37,132.19.127.49,1,cd:5f:2d:20:a7:2d,1265,788
0,907106,Manufacturer_7,Model_26,21,Description_575140,Responsiblity_21,Running,Department_23,EQ_Class_17,44117400,5/12/2019,5/21/2019,5/11/2019,Location_597,Risk_Name_22,1,None,191,None,61101,60,579,978050,4/19/2019,True,1,28,1,None,257484,121.123.61.159,254.136.78.77,1,92:5e:48:cf:a2:f9,1416,522
0,323250,Manufacturer_25,Model_30,3,Description_215283,Responsiblity_31,Running,Department_22,EQ_Class_5,1558072,5/26/2019,5/2/2019,5/1/2019,Location_982,Risk_Name_1,1,None,498,None,532601,879,447,34919,4/3/2019,True,1,15,1,None,703385,160.154.180.117,228.163.28.49,1,8a:b8:c4:1d:a5:07,1286,167
0,788718,Manufacturer_3,Model_13,10,Description_470258,Responsiblity_2,Running,Department_21,EQ_Class_3,5553790,5/30/2019,5/14/2019,5/13/2019,Location_662,Risk_Name_10,1,None,472,None,93128,8,63,804499,4/25/2019,True,1,18,1,None,816600,200.46.190.243,42.1.129.255,1,90:06:bb:fd:06:f0,1184,628
0,635089,Manufacturer_18,Model_22,12,Description_1027987,Responsiblity_29,Running,Department_23,EQ_Class_22,52750646,5/4/2019,5/2/2019,5/12/2019,Location_616,Risk_Name_1,1,None,579,None,389018,820,455,6628,4/18/2019,True,1,9,1,None,523035,101.49.230.87,140.99.161.208,1,c4:a0:76:a7:9d:10,1121,693
0,1020142,Manufacturer_5,Model_25,26,Description_593650,Responsiblity_7,Running,Department_18,EQ_Class_20,81290631,5/28/2019,5/20/2019,5/13/2019,Location_260,Risk_Name_22,1,None,793,None,200207,989,231,101865,4/6/2019,True,1,20,1,None,202776,110.217.93.195,167.11.166.10,1,09:ea:99:58:ce:ab,1893,166
0,437252,Manufacturer_9,Model_8,3,Description_119620,Responsiblity_25,Running,Department_2,EQ_Class_25,55804221,5/28/2019,5/21/2019,5/15/2019,Location_86,Risk_Name_23,1,None,731,None,818684,375,957,605326,4/24/2019,True,1,5,1,None,749934,14.197.241.106,255.54.170.248,1,57:fb:a6:6f:9f:b8,1844,547
0,167659,Manufacturer_24,Model_24,19,Description_680477,Responsiblity_2,Running,Department_27,EQ_Class_26,12410231,5/29/2019,5/28/2019,5/3/2019,Location_507,Risk_Name_13,1,None,947,None,607259,148,71,477279,4/7/2019,True,1,20,1,None,644130,38.202.197.207,211.58.92.229,1,b8:c8:e8:1f:06:27,1823,512
0,47561,Manufacturer_24,Model_5,24,Description_10558,Responsiblity_13,Running,Department_13,EQ_Class_14,78926970,5/19/2019,5/26/2019,5/10/2019,Location_891,Risk_Name_29,1,None,756,None,498820,787,247,44520,4/3/2019,True,1,29,1,None,950302,24.199.220.11,220.67.40.105,1,85:d4:4f:79:35:95,1786,473
0,112183,Manufacturer_13,Model_28,18,Description_48451,Responsiblity_13,Running,Department_27,EQ_Class_21,46420603,5/17/2019,5/24/2019,5/25/2019,Location_925,Risk_Name_18,1,None,281,None,928085,804,486,46224,4/14/2019,True,1,25,1,None,831249,237.251.196.129,154.187.2.68,1,e4:d5:7b:01:83:77,1851,949
0,286389,Manufacturer_24,Model_31,14,Description_233806,Responsiblity_6,Running,Department_19,EQ_Class_11,98072913,5/4/2019,5/26/2019,5/20/2019,Location_434,Risk_Name_21,1,None,91,None,66286,502,726,27445,4/27/2019,True,1,3,1,None,67469,207.239.135.201,172.219.118.250,1,02:58:d5:bd:2e:78,1080,365
0,511750,Manufacturer_26,Model_13,9,Description_225397,Responsiblity_5,Running,Department_27,EQ_Class_4,41376485,5/4/2019,5/28/2019,5/6/2019,Location_433,Risk_Name_28,1,None,90,None,232699,799,499,794471,4/24/2019,True,1,13,1,None,255088,86.104.178.82,231.62.243.167,1,81:7e:06:12:1d:76,1088,990
0,595467,Manufacturer_25,Model_10,32,Description_103267,Responsiblity_1,Running,Department_26,EQ_Class_6,32661149,5/7/2019,5/11/2019,5/19/2019,Location_522,Risk_Name_21,1,None,145,None,377441,375,759,762898,4/24/2019,True,1,9,1,None,183560,14.135.213.103,84.154.169.196,1,5e:e2:79:cd:56:20,1917,42
0,708811,Manufacturer_13,Model_4,22,Description_597041,Responsiblity_16,Running,Department_9,EQ_Class_23,3158475,5/29/2019,5/2/2019,5/25/2019,Location_958,Risk_Name_21,1,None,774,None,288449,910,193,836835,4/4/2019,True,1,6,1,None,55162,104.138.132.146,249.255.9.172,1,b9:91:ec:65:8b:d1,1474,891
0,15930,Manufacturer_1,Model_11,16,Description_840047,Responsiblity_26,Running,Department_12,EQ_Class_14,64248723,5/8/2019,5/15/2019,5/10/2019,Location_254,Risk_Name_31,1,None,440,None,725018,636,271,560763,4/10/2019,True,1,32,1,None,607015,205.115.210.82,209.38.34.115,1,ef:d7:2b:c0:fc:40,1321,285
0,353950,Manufacturer_3,Model_31,29,Description_53498,Responsiblity_19,Running,Department_4,EQ_Class_14,43438453,5/11/2019,5/2/2019,5/23/2019,Location_50,Risk_Name_32,1,None,961,None,724348,334,235,970208,4/4/2019,True,1,25,1,None,511859,151.3.109.33,88.215.141.141,1,12:82:f5:73:e8:5f,1984,269
0,92022,Manufacturer_26,Model_21,24,Description_895367,Responsiblity_28,Running,Department_4,EQ_Class_10,82579526,5/31/2019,5/28/2019,5/25/2019,Location_825,Risk_Name_25,1,None,39,None,124769,2,984,961358,4/17/2019,True,1,30,1,None,846618,34.79.52.102,91.45.39.214,1,3a:34:41:d7:87:9f,1945,32
0,345119,Manufacturer_7,Model_2,17,Description_847494,Responsiblity_3,Running,Department_7,EQ_Class_22,20185462,5/29/2019,5/2/2019,5/31/2019,Location_347,Risk_Name_16,1,None,564,None,425564,150,788,153352,4/31/2019,True,1,19,1,None,605340,54.150.227.47,174.22.128.86,1,8c:34:35:db:e2:2c,1331,581
0,975266,Manufacturer_30,Model_12,5,Description_298872,Responsiblity_10,Running,Department_21,EQ_Class_25,83361880,5/29/2019,5/6/2019,5/7/2019,Location_797,Risk_Name_3,1,None,141,None,707460,737,922,379140,4/6/2019,True,1,18,1,None,132088,100.93.140.75,80.101.50.36,1,15:b0:fc:a8:e4:c2,1380,467
0,727990,Manufacturer_19,Model_16,20,Description_523729,Responsiblity_11,Running,Department_6,EQ_Class_25,60442931,5/13/2019,5/27/2019,5/1/2019,Location_201,Risk_Name_16,1,None,68,None,953923,403,850,426934,4/23/2019,True,1,20,1,None,1024902,224.123.9.165,160.143.225.144,1,35:56:5f:79:b4:12,1283,971
0,681874,Manufacturer_15,Model_4,3,Description_648237,Responsiblity_2,Running,Department_1,EQ_Class_15,31182785,5/16/2019,5/5/2019,5/11/2019,Location_197,Risk_Name_11,1,None,859,None,940061,598,786,472305,4/11/2019,True,1,25,1,None,910062,15.39.47.238,232.169.85.254,1,71:80:df:29:6e:d7,1859,317
0,941776,Manufacturer_6,Model_12,27,Description_628472,Responsiblity_6,Running,Department_16,EQ_Class_25,54866140,5/2/2019,5/2/2019,5/8/2019,Location_986,Risk_Name_9,1,None,622,None,178088,124,436,286490,4/26/2019,True,1,23,1,None,159219,140.155.247.203,11.54.89.81,1,bc:06:21:45:4e:09,1510,701
0,190400,Manufacturer_30,Model_23,30,Description_618916,Responsiblity_30,Running,Department_14,EQ_Class_3,82790277,5/14/2019,5/17/2019,5/4/2019,Location_539,Risk_Name_20,1,None,442,None,404834,186,977,788862,4/5/2019,True,1,22,1,None,137387,113.77.37.254,145.209.232.202,1,db:cf:c4:d7:eb:40,1638,304
0,979266,Manufacturer_19,Model_26,7,Description_515730,Responsiblity_24,Running,Department_26,EQ_Class_1,10942605,5/10/2019,5/27/2019,5/26/2019,Location_260,Risk_Name_27,1,None,1020,None,859416,596,523,169925,4/22/2019,True,1,6,1,None,60844,12.152.232.210,103.218.49.80,1,72:58:a7:46:96:5f,1785,817
0,907781,Manufacturer_18,Model_17,16,Description_677968,Responsiblity_25,Running,Department_27,EQ_Class_2,56830669,5/26/2019,5/25/2019,5/8/2019,Location_405,Risk_Name_30,1,None,656,None,391173,462,861,798575,4/2/2019,True,1,31,1,None,186697,250.168.60.113,241.19.253.203,1,e5:7b:ef:0e:a0:cc,1204,633
0,226378,Manufacturer_27,Model_2,28,Description_82535,Responsiblity_1,Running,Department_14,EQ_Class_22,80804194,5/21/2019,5/8/2019,5/12/2019,Location_1003,Risk_Name_9,1,None,459,None,705602,781,723,681451,4/30/2019,True,1,10,1,None,991899,54.79.134.149,48.218.63.50,1,95:82:5e:09:b7:28,1447,579
0,58411,Manufacturer_6,Model_7,22,Description_778349,Responsiblity_32,Running,Department_16,EQ_Class_15,86237092,5/11/2019,5/19/2019,5/1/2019,Location_617,Risk_Name_21,1,None,371,None,779524,474,711,114447,4/1/2019,True,1,21,1,None,806078,245.202.106.51,79.35.208.238,1,8b:05:2f:d8:1e:c0,1312,671
0,695777,Manufacturer_28,Model_6,22,Description_969495,Responsiblity_4,Running,Department_17,EQ_Class_2,72666086,5/8/2019,5/17/2019,5/15/2019,Location_397,Risk_Name_21,1,None,40,None,638750,148,234,798063,4/4/2019,True,1,32,1,None,170591,136.82.178.24,108.253.23.205,1,6f:ef:c8:57:ef:fd,1294,310
0,108269,Manufacturer_13,Model_27,28,Description_732006,Responsiblity_22,Running,Department_4,EQ_Class_11,93865563,5/7/2019,5/1/2019,5/27/2019,Location_309,Risk_Name_17,1,None,346,None,122165,49,124,100228,4/28/2019,True,1,6,1,None,404421,8.230.226.204,232.162.255.165,1,4c:8f:d4:4c:1f:cc,1970,25
0,69554,Manufacturer_10,Model_23,22,Description_485605,Responsiblity_3,Running,Department_5,EQ_Class_17,2532960,5/28/2019,5/3/2019,5/29/2019,Location_350,Risk_Name_4,1,None,351,None,39185,675,896,666135,4/5/2019,True,1,20,1,None,765587,224.136.25.165,16.246.217.254,1,fb:22:2a:1e:fd:68,1942,746
0,543711,Manufacturer_2,Model_4,32,Description_162366,Responsiblity_9,Running,Department_22,EQ_Class_9,63029538,5/13/2019,5/13/2019,5/13/2019,Location_163,Risk_Name_21,1,None,367,None,766880,140,965,967263,4/5/2019,True,1,23,1,None,818136,8.230.226.204,47.156.201.117,1,ae:9b:43:c5:ef:0d,2018,446
0,95446,Manufacturer_12,Model_27,1,Description_94840,Responsiblity_11,Running,Department_18,EQ_Class_25,60526476,5/13/2019,5/28/2019,5/15/2019,Location_336,Risk_Name_22,1,None,4,None,117622,557,704,782177,4/20/2019,True,1,15,1,None,956563,128.76.4.52,140.155.247.203,1,20:85:67:81:4a:52,1349,415
0,874737,Manufacturer_18,Model_4,30,Description_929310,Responsiblity_20,Running,Department_11,EQ_Class_15,21865983,5/22/2019,5/8/2019,5/3/2019,Location_837,Risk_Name_6,1,None,147,None,648148,520,481,453025,4/31/2019,True,1,21,1,None,456591,246.176.148.251,65.69.77.55,1,b2:64:18:b6:e3:bc,1177,291
0,188364,Manufacturer_18,Model_17,7,Description_438792,Responsiblity_8,Running,Department_2,EQ_Class_11,74535370,5/15/2019,5/12/2019,5/16/2019,Location_699,Risk_Name_28,1,None,558,None,369172,110,218,1019830,4/19/2019,True,1,28,1,None,398499,107.181.254.6,164.119.101.254,1,53:7a:3b:de:96:53,1231,326
0,635545,Manufacturer_14,Model_24,19,Description_620777,Responsiblity_31,Running,Department_23,EQ_Class_4,68270794,5/5/2019,5/7/2019,5/23/2019,Location_626,Risk_Name_26,1,None,195,None,622659,224,912,791591,4/13/2019,True,1,17,1,None,903446,175.74.25.224,255.157.187.77,1,28:c5:5b:6d:15:b9,1962,909
0,361423,Manufacturer_12,Model_15,24,Description_996821,Responsiblity_9,Running,Department_7,EQ_Class_21,54957580,5/5/2019,5/19/2019,5/9/2019,Location_350,Risk_Name_11,1,None,567,None,841908,721,247,398828,4/19/2019,True,1,3,1,None,296505,77.144.247.186,34.123.197.230,1,31:8e:76:4b:36:73,1763,660
0,829033,Manufacturer_4,Model_18,31,Description_835547,Responsiblity_11,Running,Department_4,EQ_Class_4,79512134,5/23/2019,5/1/2019,5/6/2019,Location_198,Risk_Name_19,1,None,374,None,633670,113,1020,883356,4/20/2019,True,1,8,1,None,569180,101.116.127.88,160.215.192.4,1,cd:5f:2d:20:a7:2d,1351,926
0,873299,Manufacturer_30,Model_6,18,Description_591457,Responsiblity_23,Running,Department_8,EQ_Class_15,15961599,5/10/2019,5/24/2019,5/3/2019,Location_317,Risk_Name_3,1,None,373,None,273298,450,172,449799,4/29/2019,True,1,1,1,None,473008,191.132.217.11,7.235.175.231,1,a6:53:d5:b5:c8:63,1238,995
0,548540,Manufacturer_30,Model_20,1,Description_898607,Responsiblity_26,Running,Department_29,EQ_Class_31,51950503,5/4/2019,5/27/2019,5/22/2019,Location_292,Risk_Name_25,1,None,566,None,129710,555,720,555463,4/24/2019,True,1,31,1,None,980197,55.58.71.166,93.8.93.140,1,4a:bf:5f:18:64:a5,1966,572
0,847377,Manufacturer_32,Model_14,14,Description_650596,Responsiblity_17,Running,Department_26,EQ_Class_18,96620198,5/14/2019,5/8/2019,5/14/2019,Location_437,Risk_Name_16,1,None,137,None,620552,177,174,103715,4/2/2019,True,1,30,1,None,592757,46.193.121.47,70.151.251.86,1,78:c0:3d:4a:02:28,1221,589
0,235190,Manufacturer_13,Model_3,29,Description_240679,Responsiblity_19,Running,Department_31,EQ_Class_5,62858054,5/17/2019,5/9/2019,5/14/2019,Location_741,Risk_Name_2,1,None,653,None,847960,770,994,826869,4/9/2019,True,1,19,1,None,633130,157.144.16.18,62.180.207.238,1,5c:e6:28:05:49:6b,1894,414
0,873336,Manufacturer_9,Model_17,28,Description_603793,Responsiblity_21,Running,Department_9,EQ_Class_16,29672348,5/2/2019,5/7/2019,5/22/2019,Location_766,Risk_Name_2,1,None,359,None,501924,427,18,893756,4/22/2019,True,1,17,1,None,246931,31.196.171.80,161.225.46.140,1,73:b1:89:48:18:50,1259,841
0,419574,Manufacturer_23,Model_13,19,Description_949428,Responsiblity_3,Running,Department_21,EQ_Class_20,1569914,5/4/2019,5/30/2019,5/19/2019,Location_247,Risk_Name_32,1,None,936,None,591219,1003,486,131617,4/31/2019,True,1,7,1,None,837267,243.119.152.74,4.157.27.249,1,ee:32:65:8d:ec:af,1629,89
0,890745,Manufacturer_11,Model_2,20,Description_162155,Responsiblity_11,Running,Department_1,EQ_Class_4,75314605,5/9/2019,5/11/2019,5/29/2019,Location_785,Risk_Name_6,1,None,852,None,246900,837,376,561686,4/11/2019,True,1,13,1,None,334982,100.93.140.75,183.149.112.249,1,aa:d6:b1:0e:d9:54,2034,436
0,920160,Manufacturer_20,Model_1,8,Description_303041,Responsiblity_30,Running,Department_30,EQ_Class_12,93191818,5/31/2019,5/15/2019,5/26/2019,Location_945,Risk_Name_24,1,None,645,None,655201,412,665,97257,4/8/2019,True,1,29,1,None,582701,237.97.38.7,0.75.21.51,1,7f:e7:66:52:de:28,1215,853
0,739768,Manufacturer_28,Model_13,27,Description_364837,Responsiblity_1,Running,Department_30,EQ_Class_14,87648778,5/15/2019,5/20/2019,5/31/2019,Location_159,Risk_Name_19,1,None,843,None,57209,389,838,345228,4/25/2019,True,1,31,1,None,271311,121.13.74.21,24.47.146.142,1,e0:b8:5b:93:a8:1f,1468,216
0,1043243,Manufacturer_13,Model_5,30,Description_334455,Responsiblity_17,Running,Department_7,EQ_Class_4,36987573,5/29/2019,5/23/2019,5/11/2019,Location_170,Risk_Name_6,1,None,735,None,790497,476,142,660379,4/8/2019,True,1,2,1,None,320117,177.172.153.150,83.243.123.19,1,d7:e9:95:45:8c:c5,1219,672
0,102097,Manufacturer_22,Model_14,22,Description_576111,Responsiblity_16,Running,Department_22,EQ_Class_31,26800687,5/14/2019,5/18/2019,5/27/2019,Location_791,Risk_Name_29,1,None,282,None,957561,536,496,31148,4/29/2019,True,1,7,1,None,386066,122.235.73.124,192.59.175.27,1,1d:0a:f2:ec:26:95,1917,17
0,828821,Manufacturer_27,Model_28,31,Description_55930,Responsiblity_15,Running,Department_32,EQ_Class_27,92664844,5/20/2019,5/10/2019,5/19/2019,Location_727,Risk_Name_6,1,None,879,None,508434,764,55,125385,4/5/2019,True,1,10,1,None,920429,107.112.49.214,64.173.186.206,1,f1:0a:c7:6b:2f:86,1147,1016
0,381451,Manufacturer_30,Model_17,2,Description_657981,Responsiblity_8,Running,Department_14,EQ_Class_1,5277095,5/6/2019,5/14/2019,5/11/2019,Location_360,Risk_Name_30,1,None,634,None,1029233,992,493,113629,4/4/2019,True,1,9,1,None,643039,226.248.148.86,67.76.54.74,1,bc:06:21:45:4e:09,1708,573
0,109049,Manufacturer_12,Model_23,5,Description_777569,Responsiblity_8,Running,Department_32,EQ_Class_10,83300815,5/26/2019,5/7/2019,5/11/2019,Location_339,Risk_Name_29,1,None,484,None,279834,770,45,523039,4/6/2019,True,1,23,1,None,299466,122.42.218.98,179.34.148.146,1,de:21:76:e6:b5:0e,1825,801
0,641446,Manufacturer_15,Model_27,23,Description_334331,Responsiblity_12,Running,Department_25,EQ_Class_15,89778967,5/10/2019,5/21/2019,5/10/2019,Location_671,Risk_Name_8,1,None,1003,None,278958,140,535,155606,4/17/2019,True,1,2,1,None,891371,25.202.238.97,149.107.29.137,1,a3:a7:b8:68:50:b2,1608,963
