cve,cwe,vuln-description,vuln-cvssv3-base-score,vuln-cvssv3-base-score-severity,vuln-cvssv3-impact-score,vuln-cvssv3-exploitability-score,vuln-cvssv3-av,vuln-cvssv3-ac,vuln-cvssv3-pr,vuln-cvssv3-ui,vuln-cvssv3-s,vuln-cvssv3-c,vuln-cvssv3-i,vuln-cvssv3-a,vuln-technical-details-0-link,vuln-cvssv2-base-score,vuln-cvssv2-base-score-severity,vuln-cvssv2-impact-subscore,vuln-cvssv2-exploitability-score,vuln-cvssv2-additional
CVE-2019-9875,CWE-502,Deserialization of Untrusted Data in the anti CSRF module in Sitecore through 9.1 allows an authenticated attacker to execute arbitrary code by sending a serialized .NET object in an HTTP POST parameter.,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,Partial,High,High,Deserialization of Untrusted Data,6.5,MEDIUM,6.4,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9874,CWE-502,Deserialization of Untrusted Data in the Sitecore.Security.AntiCSRF (aka anti CSRF) module in Sitecore CMS 7.0 to 7.2 and Sitecore XP 7.5 to 8.2 allows an unauthenticated attacker to execute arbitrary code by sending a serialized .NET object in the HTTP POST parameter __CSRFTOKEN.,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Partial,High,High,Deserialization of Untrusted Data,7.5,HIGH,6.4,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9871,CWE-264,Jector Smart TV FM-K75 devices allow remote code execution because there is an adb open port with root permission.,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,"Permissions, Privileges, and Access Control",10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9870,CWE-19,plugin.js in the w8tcha oEmbed plugin before 2019-03-14 for CKEditor mishandles SCRIPT elements.,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Partial,High,High,Data Handling,7.5,HIGH,6.4,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9868,CWE-255,An issue was discovered in the Web Console in Veritas NetBackup Appliance through 3.1.2. The SMTP password is displayed to an administrator.,7.2,HIGH,5.9,1.2,Network,Low,High,None,Unchanged,Partial,High,High,Credentials Management,4.0,MEDIUM,2.9,8.0,Allows unauthorized disclosure of information
CVE-2019-9867,CWE-255,An issue was discovered in the Web Console in Veritas NetBackup Appliance through 3.1.2. The proxy server password is displayed to an administrator.,7.2,HIGH,5.9,1.2,Network,Low,High,None,Unchanged,Partial,High,High,Credentials Management,4.0,MEDIUM,2.9,8.0,Allows unauthorized disclosure of information
CVE-2019-9866,CWE-200,An issue was discovered in GitLab Community and Enterprise Edition 11.x before 11.7.7 and 11.8.x before 11.8.3. It allows Information Disclosure.,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,Partial,None,None,Information Leak / Disclosure,4.0,MEDIUM,2.9,8.0,Allows unauthorized disclosure of information
CVE-2019-9865,CWE-190,"When RPC is enabled in Wind River VxWorks 6.9 prior to 6.9.1, a specially crafted RPC request can trigger an integer overflow leading to an out-of-bounds memory copy. It may allow remote attackers to cause a denial of service (crash) or possibly execute arbitrary code.",8.1,HIGH,5.9,2.2,Network,High,None,None,Unchanged,Partial,High,High,Integer Overflow or Wraparound,6.8,MEDIUM,6.4,8.6,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9864,CWE-20,PHP Scripts Mall Amazon Affiliate Store 2.1.6 allows Parameter Tampering of the payment amount.,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,None,High,None,Input Validation,4.0,MEDIUM,2.9,8.0,Allows unauthorized modification
CVE-2019-9863,CWE-326,"Due to the use of an insecure algorithm for rolling codes in the ABUS Secvest wireless alarm system FUAA50000 3.01.01 and its remote controls FUBE50014 and FUBE50015, an attacker is able to predict valid future rolling codes, and can thus remotely control the alarm system in an unauthorized way.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Inadequate Encryption Strength,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-9862,CWE-200,"An issue was discovered on ABUS Secvest wireless alarm system FUAA50000 3.01.01 in conjunction with Secvest remote control FUBE50014 or FUBE50015. Because ""encrypted signal transmission"" is missing, an attacker is able to eavesdrop sensitive data as cleartext (for instance, the current rolling code state).",6.5,MEDIUM,3.6,2.8,Adjacent,Low,None,None,Unchanged,Partial,None,None,Information Leak / Disclosure,3.3,LOW,2.9,6.5,Allows unauthorized disclosure of information
CVE-2019-9861,CWE-310,"Due to the use of an insecure RFID technology (MIFARE Classic), ABUS proximity chip keys (RFID tokens) of the ABUS Secvest FUAA50000 wireless alarm system can easily be cloned and used to deactivate the alarm system in an unauthorized way.",8.1,HIGH,5.2,2.8,Adjacent,Low,None,None,Unchanged,Partial,High,None,Cryptographic Issues,4.8,MEDIUM,4.9,6.5,Allows unauthorized disclosure of information. Allows unauthorized modification
CVE-2019-9860,CWE-332,"Due to unencrypted signal communication and predictability of rolling codes, an attacker can ""desynchronize"" an ABUS Secvest wireless remote control (FUBE50014 or FUBE50015) relative to its controlled Secvest wireless alarm system FUAA50000 3.01.01, so that sent commands by the remote control are not accepted anymore.",7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,Insufficient Entropy in PRNG,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2019-3735,CWE-264,"Dell SupportAssist for Business PCs version 2.0 and Dell SupportAssist for Home PCs version 2.2, 2.2.1, 2.2.2, 2.2.3, 3.0, 3.0.1, 3.0.2, 3.1, 3.2, and 3.2.1 contain an Improper Privilege Management Vulnerability. A malicious local user can exploit this vulnerability by inheriting a system thread using a leaked thread handle to gain system privileges on the affected machine.",7.8,HIGH,5.9,1.8,Local,Low,Low,None,Unchanged,Complete,High,High,"Permissions, Privileges, and Access Control",7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-12920,CWE-798,"On Shenzhen Cylan Clever Dog Smart Camera DOG-2W and DOG-2W-V4 devices, an attacker on the network can login remotely to the camera and gain root access. The device ships with a hardcoded 12345678 password for the root account, accessible from a TELNET login prompt.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Use of Hard-coded Credentials,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-12919,CWE-200,"On Shenzhen Cylan Clever Dog Smart Camera DOG-2W and DOG-2W-V4 devices, an attacker on the local network has unauthenticated access to the internal SD card via the HTTP service on port 8000. The HTTP web server on the camera allows anyone to view or download the video archive recorded and saved on the external memory card attached to the device.",5.5,MEDIUM,3.6,1.8,Local,Low,Low,None,Unchanged,Partial,None,None,Information Leak / Disclosure,2.1,LOW,2.9,3.9,Allows unauthorized disclosure of information
CVE-2019-12905,CWE-79,FileRun 2019.05.21 allows XSS via the filename to the ?module=fileman,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),4.3,MEDIUM,2.9,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2019-12790,CWE-125,"In radare2 through 3.5.1, there is a heap-based buffer over-read in the r_egg_lang_parsechar function of egg_lang.c. This allows remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact because of missing length validation in libr/egg/egg.c.",7.8,HIGH,5.9,1.8,Local,Low,None,Required,Unchanged,Partial,High,High,Out-of-bounds Read,6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-12789,CWE-264,"An issue was discovered on Actiontec T2200H T2200H-31.128L.08 devices, as distributed by Telus. By attaching a UART adapter to the UART pins on the system board, an attacker can use a special key sequence (Ctrl-\) to obtain a shell with root privileges. After gaining root access, the attacker can mount the filesystem read-write and make permanent modifications to the device including bricking of the device, disabling vendor management of the device, preventing automatic upgrades, and permanently installing malicious code on the device.",6.8,MEDIUM,5.9,0.9,Physical,Low,None,None,Unchanged,Complete,High,High,"Permissions, Privileges, and Access Control",7.2,HIGH,10.0,3.9,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-12788,CWE-119,An issue was discovered in Photodex ProShow Producer v9.0.3797 (an application that runs with Administrator privileges). It is possible to perform a buffer overflow via a crafted file.,7.8,HIGH,5.9,1.8,Local,Low,None,Required,Unchanged,Partial,High,High,Buffer Errors,6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-12787,CWE-91,An issue was discovered on D-Link DIR-818LW devices from 2.05.B03 to 2.06B01 BETA. There is a command injection in HNAP1 SetWanSettings via an XML injection of the value of the Gateway key.,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,Partial,High,High,XML Injection (aka Blind XPath Injection),6.5,MEDIUM,6.4,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-12786,CWE-77,An issue was discovered on D-Link DIR-818LW devices from 2.05.B03 to 2.06B01 BETA. There is a command injection in HNAP1 SetWanSettings via an XML injection of the value of the IPAddress key.,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,Partial,High,High,Command Injection,6.5,MEDIUM,6.4,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2019-12745,CWE-79,out/out.UsrMgr.php in SeedDMS before 5.1.11 allows Stored Cross-Site Scripting (XSS) via the name field.,5.4,MEDIUM,2.7,2.3,Network,Low,Low,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),3.5,LOW,2.9,6.8,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2019-12744,CWE-77,"SeedDMS before 5.1.11 allows Remote Command Execution (RCE) because of unvalidated file upload of PHP scripts, a different vulnerability than CVE-2018-12940.",7.5,HIGH,5.9,1.6,Network,High,Low,None,Unchanged,Partial,High,High,Command Injection,6.0,MEDIUM,6.4,6.8,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2018-16248,CWE-79,"b3log Solo 2.9.3 has XSS in the Input page under the ""Publish Articles"" menu with an ID of ""articleTags"" stored in the ""tag"" JSON field, which allows remote attackers to inject arbitrary Web scripts or HTML via a carefully crafted site name in an admin-authenticated HTTP request.",6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),4.3,MEDIUM,2.9,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2018-16247,CWE-79,YzmCMS 5.1 has XSS via the admin/system_manage/user_config_add.html title parameter.,5.4,MEDIUM,2.7,2.3,Network,Low,Low,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),3.5,LOW,2.9,6.8,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2018-16119,CWE-119,Stack-based buffer overflow in the httpd server of TP-Link WR1043nd (Firmware Version 3) allows remote attackers to execute arbitrary code via a malicious MediaServer request to /userRpm/MediaServerFoldersCfgRpm.htm.,7.2,HIGH,5.9,1.2,Network,Low,High,None,Unchanged,Complete,High,High,Buffer Errors,9.0,HIGH,10.0,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2018-16118,CWE-78,"A shell escape vulnerability in /webconsole/APIController in the API Configuration component of Sophos XG firewall 17.0.8 MR-8 allows remote attackers to execute arbitrary OS commands via shell metachracters in the ""X-Forwarded-for"" HTTP header.",8.1,HIGH,5.9,2.2,Network,High,None,None,Unchanged,Complete,High,High,OS Command Injections,9.3,HIGH,10.0,8.6,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2018-16117,CWE-78,"A shell escape vulnerability in /webconsole/Controller in Admin Portal of Sophos XG firewall 17.0.8 MR-8 allow remote authenticated attackers to execute arbitrary OS commands via shell metacharacters in the ""dbName"" POST parameter.",8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,Complete,High,High,OS Command Injections,9.0,HIGH,10.0,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2018-16116,CWE-89,"SQL injection vulnerability in AccountStatus.jsp in Admin Portal of Sophos XG firewall 17.0.8 MR-8 allow remote authenticated attackers to execute arbitrary SQL commands via the ""username"" GET parameter.",8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,Partial,High,High,SQL Injection,6.5,MEDIUM,6.4,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2018-15913,CWE-79,"An issue was discovered in Cloudera Manager 5.x through 5.15.0. One type of page in Cloudera Manager uses a 'returnUrl' parameter to redirect the user to another page in Cloudera Manager once a wizard is completed. The validity of this parameter was not checked. As a result, the user could be automatically redirected to an attacker's external site or perform a malicious JavaScript function that results in cross-site scripting (XSS). This was fixed by not allowing any value in the returnUrl parameter with patterns such as http://, https://, //, or javascript. The only exceptions to this rule are the SAML Login/Logout URLs, which remain supported since they are explicitly configured and they are not passed via the returnUrl parameter.",6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),4.3,MEDIUM,2.9,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2018-15892,CWE-89,FreePBX 13 and 14 has SQL Injection in the DISA module via the hangup variable on the /admin/config.php?display=disa,4.3,MEDIUM,3.4,0.9,Network,Low,High,Required,Unchanged,Partial,Low,Low,SQL Injection,6.0,MEDIUM,6.4,6.8,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2018-15891,CWE-79,"An issue was discovered in FreePBX core before 3.0.122.43, 14.0.18.34, and 5.0.1beta4. By crafting a request for adding Asterisk modules, an attacker is able to store JavaScript commands in a module name.",4.8,MEDIUM,2.7,1.7,Network,Low,High,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),3.5,LOW,2.9,6.8,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2018-15890,CWE-502,"An issue was discovered in EthereumJ 1.8.2. There is Unsafe Deserialization in ois.readObject in mine/Ethash.java and decoder.readObject in crypto/ECKey.java. When a node syncs and mines a new block, arbitrary OS commands can be run on the server.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Deserialization of Untrusted Data,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2018-15879,CWE-415,** REJECT ** DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2019-6978. Reason: This candidate is a reservation duplicate of CVE-2019-6978. Notes: All CVE users should reference CVE-2019-6978 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage.,,,,,,,,,,,,,,,,,,nan
CVE-2018-15878,CWE-415,** REJECT ** DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: CVE-2019-6978. Reason: This candidate is a reservation duplicate of CVE-2019-6978. Notes: All CVE users should reference CVE-2019-6978 instead of this candidate. All references and descriptions in this candidate have been removed to prevent accidental usage.,,,,,,,,,,,,,,,,,,nan
CVE-2016-6794,CWE-200,"When a SecurityManager is configured, a web application's ability to read system properties should be controlled by the SecurityManager. In Apache Tomcat 9.0.0.M1 to 9.0.0.M9, 8.5.0 to 8.5.4, 8.0.0.RC1 to 8.0.36, 7.0.0 to 7.0.70, 6.0.0 to 6.0.45 the system property replacement feature for configuration files could be used by a malicious web application to bypass the SecurityManager and read system properties that should not be visible.",5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,Partial,None,None,Information Leak / Disclosure,5.0,MEDIUM,2.9,10.0,Allows unauthorized disclosure of information
CVE-2016-5709,CWE-200,"SolarWinds Virtualization Manager 6.3.1 and earlier uses weak encryption to store passwords in /etc/shadow, which allows local users with superuser privileges to obtain user passwords via a brute force attack.",4.7,MEDIUM,3.6,1.0,Local,High,Low,None,Unchanged,Partial,None,None,Information Leak / Disclosure,1.9,LOW,2.9,3.4,Allows unauthorized disclosure of information
CVE-2016-10226,CWE-125,"JavaScriptCore in WebKit, as distributed in Safari Technology Preview Release 18, allows remote attackers to cause a denial of service (bitfield out-of-bounds read and application crash) via crafted JavaScript code that is mishandled in the operatorString function, related to assembler/MacroAssemblerARM64.h, assembler/MacroAssemblerX86Common.h, and wasm/WasmB3IRGenerator.cpp.",7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,Out-of-bounds Read,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2016-10222,CWE-20,"runtime/JSONObject.cpp in JavaScriptCore in WebKit, as distributed in Safari Technology Preview Release 18, allows remote attackers to cause a denial of service (segmentation violation and application crash) via crafted JavaScript code that triggers a ""type confusion"" in the JSON.stringify function.",7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,Input Validation,5.0,MEDIUM,2.9,10.0,Allows disruption of service
CVE-2016-10026,CWE-284,"ikiwiki 3.20161219 does not properly check if a revision changes the access permissions for a page on sites with the git and recentchanges plugins and the CGI interface enabled, which allows remote attackers to revert certain changes by leveraging permissions to change the page before the revision was made.",7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,High,None,Improper Access Control,5.0,MEDIUM,2.9,10.0,Allows unauthorized modification
CVE-2016-1000307,CWE-79,"Multiple Cross Site Scripting (XSS) Vulnerabilities in ClipBucket v2.8.1 and probably prior allow Remote Attackers to inject arbitrary web script or HTML via (1) profile_desc, about_me, schools, occupation, companies, hobbies, fav_movies, fav_music, fav_books parameters to ProfileSettings page; (2) note parameter to PersonalNotes Section; (3) closed_msg, description, allowed_types parameters to WebsiteConfigurations Section. NOTE: the collection_description vector is already covered by CVE-2015-4673.",6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),4.3,MEDIUM,2.9,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2016-0963,CWE-189,"Integer overflow in Adobe Flash Player before 18.0.0.333 and 19.x through 21.x before 21.0.0.182 on Windows and OS X and before 11.2.202.577 on Linux, Adobe AIR before 21.0.0.176, Adobe AIR SDK before 21.0.0.176, and Adobe AIR SDK",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Numeric Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0952,CWE-119,"Adobe Photoshop CC 2014 before 15.2.4, Photoshop CC 2015 before 16.1.2, and Bridge CC before 6.2 allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-0951 and CVE-2016-0953.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0951,CWE-119,"Adobe Photoshop CC 2014 before 15.2.4, Photoshop CC 2015 before 16.1.2, and Bridge CC before 6.2 allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-0952 and CVE-2016-0953.",9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0870,CWE-200,The web server in Trane Tracer SC 4.2.1134 and earlier allows remote attackers to read sensitive configuration files via a direct request.,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,Partial,None,None,Information Leak / Disclosure,5.0,MEDIUM,2.9,10.0,Allows unauthorized disclosure of information
CVE-2016-0869,CWE-119,Heap-based buffer overflow in MICROSYS PROMOTIC before 8.3.11 allows remote authenticated users to cause a denial of service via a malformed HTML document.,5.0,MEDIUM,3.6,1.3,Local,Low,Low,Required,Unchanged,None,None,High,Buffer Errors,7.1,HIGH,6.9,8.6,Victim must voluntarily interact with attack mechanism. Allows disruption of service
CVE-2016-0868,CWE-119,Stack-based buffer overflow on Rockwell Automation Allen-Bradley MicroLogix 1100 devices A through 15.000 and B before 15.002 allows remote attackers to execute arbitrary code via a crafted web request.,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,Complete,High,High,Buffer Errors,10.0,HIGH,10.0,10.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0867,CWE-200,CAREL PlantVisorEnhanced allows remote attackers to bypass intended access restrictions via a direct file request.,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,Complete,None,None,Information Leak / Disclosure,7.8,HIGH,6.9,10.0,Allows unauthorized disclosure of information
CVE-2016-0866,CWE-79,"Cross-site scripting (XSS) vulnerability in Tollgrade SmartGrid LightHouse Sensor Management System (SMS) Software EMS before 5.1, and 4.1.0 Build 16, allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.",6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,None,Low,None,Cross-Site Scripting (XSS),4.3,MEDIUM,2.9,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized modification
CVE-2016-0865,CWE-255,"Tollgrade SmartGrid LightHouse Sensor Management System (SMS) Software EMS before 5.1, and 4.1.0 Build 16, allows remote authenticated users to change arbitrary passwords via unspecified vectors.",8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,Complete,High,High,Credentials Management,9.0,HIGH,10.0,8.0,Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
CVE-2016-0864,CWE-200,"Tollgrade SmartGrid LightHouse Sensor Management System (SMS) Software EMS before 5.1, and 4.1.0 Build 16, allows remote attackers to obtain sensitive report and username information via unspecified vectors.",5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,Partial,None,None,Information Leak / Disclosure,5.0,MEDIUM,2.9,10.0,Allows unauthorized disclosure of information
CVE-2016-0863,CWE-352,"Cross-site request forgery (CSRF) vulnerability in Tollgrade SmartGrid LightHouse Sensor Management System (SMS) Software EMS before 5.1, and 4.1.0 Build 16, allows remote attackers to hijack the authentication of arbitrary users.",8.8,HIGH,5.9,2.8,Network,Low,None,Required,Unchanged,Partial,High,High,Cross-Site Request Forgery (CSRF),6.8,MEDIUM,6.4,8.6,Victim must voluntarily interact with attack mechanism. Allows unauthorized disclosure of information. Allows unauthorized modification. Allows disruption of service
